"item","prompt"
"winogrande.263","James was able to earn more money when he sold his bike unlike when he sold his ball because the ball is cheaper.

Eric didn't like to stretch like Adam, so when it came to the splits Adam succeeded when demonstrating the move.

My friend showed me an activity that I liked better than the last exercise, because the exercise was intense.

It was hard for Michael but not Adam to read the paper because Adam did not need reading glasses.

The man tried to put the rock into the aquarium but the aquarium was too small.

The wound caused by the bullet needed more care than the one caused by the knife because the knife"
"winogrande.390","Candy chose to purchase the boots over the sandals. She felt the sandals were less attractive.

People said Nelson was much more attractive than Kyle due to Nelson getting more Vitamin D.

Tigers were chasing the tourists and unfortunately they managed to pounce on Rebecca although Christine outran them. The faster runner was Christine .

Justin noticed that Logan was coughing and went to get some cough medicine for it because Logan was a sick person.

Nick thought that parents just don't understand but Ryan thought that they did understand. Ryan had a sensational relationship with their parents.

the scanning tool could not get through the cervix because the tool"
"winogrande.984","The chef tried to store the food inside the basket but the food was too large.

The temperature in the bedroom was hotter than in the kitchen, so the kitchen is likely down lower, since heat rises.

High blood pressure is an issue for Felicia, while Katrina doesn't have that problem. Felicia leads a poor lifestyle.

The girls were not impressed with Randy but with Joel as Randy forgot to greet them at school.

He could study at night better than he could in the daytime, as during the night his mind tended to focus.

His hands were a lot rougher than his thighs, because he used the thighs"
"winogrande.407","I got an amazing treat from my father as opposed to the bad gift from my mother, because the gift was second hand.

Angela tried to calm Carrie's nerves at the airport because Carrie was scared of flying in airplanes.

The man wanted to build the new school on the abandoned lot but the school was too large.

the car could not drive trough the gate as the guests requested because the gate was too narrow.

Ben wanted to dye his hair blue or brown, but the brown color was too dull.

The cracker that was given to me was worse than the cookie, because the cracker"
"winogrande.38","The disorder was prominent in the wolves but not in the coyotes , as wolves had weaker immune responses.

Jennifer can sleep anywhere but Amy needs a good matress as Jennifer has no back problems.

We switched the mice out of the cage and into the box, as the box so spacious.

The ice under Sarah gave way and Felicia helped pull them out, because Sarah was slipping underneath of the ice.

After the trial, the jury went to lunch at the pizza place and skipped the burger joint. The burger joint had appalling reviews.

The man chose medication for his infection rather than the ointment, because the ointment"
"winogrande.466","Natalie asked for help from Katrina to write a cover letter for their resume. Katrina was more experienced at job searching.

The food in the bowl could not be eaten by anyone and we decided to go for the milk. The food is rotten.

Kyle gets lots of warts, but Nelson does not. People think that Kyle is gross.

The man wanted to put the clothes on the chairs but the clothes were too large.

School was really quite wonderful for Craig but not for Robert because Robert was very lazy.

Natalie is a forest ranger, Jessica is a cook therefore Jessica"
"winogrande.310","Emily could not lift Felicia out of the cradle while crying because Emily is weak.

Jane could not put the battery in the calculator because the battery was too big.

Leslie offered to show the stranger,  Kenneth around town because Kenneth was a foreigner to the area.

She could not put the fish tank on the hall table because the fish tank was too wide.

Sarah had curly handwriting in the letter while Felicia had boxy handwriting, Sarah was very feminine.

Laura had a much better body than Katrina, because Katrina"
"winogrande.1235","Robert invited Joseph into his big tent on a spring camping trip, because Robert wanted some company.

Rachel could act as though they cared about something they did not whereas Mary could not because Rachel was very duplicitous.

James still found some particles went through the filter holes. He never knew the holes are that wide.

Victoria drove a compact car and Rachel drove a large SUV. Victoria 's automobile could fit fewer people.

Since Cynthia invited relatives over for Christmas and Betty did not, Betty ate alone at home.

Randy only ever added a little bit of hot sauce to his food, especially compared to Adam, as Randy"
"winogrande.106","Kevin had the exact skills needed to apply for the job unlike Joel, because Joel worked in a different position before.

Throughout high school, Rebecca struggled to find a skincare regime that kept pimps at bay. Natalie recommended all natural products. Natalie felt good for giving the recommendation.

Kayla offered to teach Victoria how to work with wood because Kayla was a professional carpenter.

Eric is known as bilingual whereas Jason is not because Eric can speak Spanish fluently.

It was harder to clean the patio than it was to clean the bathroom because the patio was dusty.

Reading poetry and rhymes was very entertaining for Derrick but boring for Logan, since Logan"
"winogrande.198","Carrie was told at a young age that she would never have a modeling career like Katrina, due to Katrina being attractive.

Aaron was more famous than Hunter was because Aaron had been in more movies and shows.

Michael's loud cheering and yelling was giving Matthew a pounding headache so Matthew finally asked him to stop yelling.

People say that Craig is a bad parent, but Kyle is a good one. This is because Kyle is patient.

Jason was lifting weights and Donald wanted to help for Donald knew he was lifting them incorrectly.

The cleaning crew always used rags instead of washcloths, although the rags"
