"item","prompt"
"hellaswag.8950","Relationships: How to find old friends online. Brainstorm a list of information that you know about the person. The more information you have, the easier it will be to locate your friend. Think about when and where you knew the person, and who else you knew at the same time. Write down as many of the following pieces of information about the person as you can recall. It is not necessary to have all of this information, but the more you have to work with, the better your chances are of finding your friend.

Youth: How to organize your middle school locker. Clean your locker. Whether it's the beginning of the year or in the middle, your locker should be clean. At the beginning of the year, it's a good idea to wipe down your locker with cleaning wipes, as you never know what was there before you. In the middle of the year, clean out everything, scrub down your locker, and, if needed, get rid of the smell of your gym clothes. Hanging car air fresheners on the hooks help a lot with any such smell.

Hopscotch: A woman talks on front a hopscotch. Then, the woman hops n the hopscotch while talking. The woman turns when arrives to the end of the hopscotch and continues hopping.

Home and Garden: How to clean your room for your boyfriend. Take all the trash you have in your room and make a pile. Then, using the divide and conquer method, create separate piles. One pile could be drinking glasses and plates, and/or food, another could be paper trash. Decide what category everything belongs in, and then bring them to the correct room. Place dirty dishes in the dishwasher or kitchen sink.

Home and Garden: How to grow fruit in pots. Choose what type of fruit to grow. Strawberries are the most common kind of fruits grown in pots on patios and decks, but there are other options. Dwarf apple, orange and peach trees can also be grown in containers, as well as blueberry and raspberry bushes.  Some hybrids and cultivars of fruit trees and bushes are self-pollinating but, for best results, you should grow two fruit trees or bushes that are pollen-compatible. The greenhouse or nursery should be able to help you select compatible trees and bushes.

Computers and Electronics: How to weld underwater. Identify the site and material of the joint to be welded and clean it. Most underwater welds involve steel, but metals may vary.. Prepare a chamber to place around the joint (each joint should have a separate chamber).  Chambers range in size-some are large enough to fit several welder-divers, others are only small enough for the welding electrode.. Introduce gas into the chamber and pump out the water.

Food and Entertaining: How to make cornflake chocolate chip peppermint cookies. Preheat the oven to 270 ° f (132 ° c) and prepare a cookie sheet pan. Use parchment/wax paper for lining the pan.. Crush the cornflakes.  You can either use a bowl or plastic bag. Put the cornflakes into either container and crush with your hands to create pieces that are about 1/4 the original size of the flakes.

Playing badminton: A man serves a tennis ball on a tennis court. A player opposite of him hits the ball with his racket. The two men continuously play tennis until a point is scored.

Preparing salad: A man and woman are standing an a kitchen. The woman is chopping up various vegetables on a white tray.

Computers and Electronics: How to change windows 8 microphone. Find the speaker icon on the taskbar. It should be on the right side of the task bar, right next to where the time and date are displayed.. Right-click on the icon.  This will bring up a menu that says things like: playback devices, recording devices, and sounds.. Select "" recording devices "" from the menu.

Having an ice cream: A woman is handed an ice cream cone. Two police officers order ice cream and wait for it. A customer"
"hellaswag.8009","Home and Garden: How to clean mineral deposits. Remove coffeemaker deposits with equal parts of vinegar and water. Fill the water reservoir with half white vinegar and half water. Turn on the coffeemaker. Halfway through the cycle, turn it off and let it sit for an hour. Then, turn the coffeemaker back on and finish the brew cycle.

Computers and Electronics: How to resize a window. Open a window. Open a computer application, such as microsoft word, internet explorer or firefox.. Check to see if your window is in the maximize mode.  If this is the case, your window will cover the whole screen. You can also verify this by looking up in the top right corner.

Hanging wallpaper: This video shows viewers how to apply self stick wallpaper. First he applies the wallpaper and explains how to cut it properly. Then he gives other helpful tips of how to put the wallpaper onto the wall and he smoothens it out.

Baking cookies: The person is now showing a very close up of them putting ingredients into a large clear glass bowl, and they mix it all together with a wooden spoon. The person stops mixing with a spoon and then begins to use their hand to mix it all together.

Sports and Fitness: How to join the popular group. Take a few months to do this. Remember it won't come in a week or two. Gradually do these things in order to become popular. Make a calendar and plan out your further actions of attempting to join the group.. For the first month, be proactive! Write down (or type, think of, etc) a list of things you want to improve.

Paintball: A group of people play a game of paintball in an outdoor setting with props and costumes. A group of people holding paintball guns and dressed in costume run into a staged setting as if in combat.

Volleyball: A man is holding a volleyball while standing on a court and speaking. Female players train and practice behind him while he speaks.

Finance and Business: How to avoid chapter 7 bankruptcy. Create a budget. To avoid bankruptcy, you first need to live within your means. Create a detailed budget and live by it. To begin, you should list all your monthly expenses, including your current debt load. Look at the last six months and write down everything you spend money on.

Food and Entertaining: How to make buffalo sauce. Choose your favorite southern-style hot pepper sauce. Favorites include fred's, tabasco and crystal. Consider the meal you are going to be using the buffalo sauce for, such as buffalo chicken wings, as a dipping sauce for a burger or sandwich, or as an ingredient to spice up a salad dressing.  You will need at least 1/2 cup (118ml) of the hot sauce.. Place 1/2 cup of the hot sauce in a bowl.

Drinking coffee: The credits of the clip are shown. A lady talks while holding a red coffee mug.

Personal Care and Style: How to dye your hair jewel toned. Purchase a bleaching kit. In order to achieve the bright, vibrant color necessary for this look, you need to strip your hair of its natural color. The jewel tone dye will layer over the existing color you have, meaning that it will be muddied or darkened by any color other than white or very blonde."
"hellaswag.2852","Cars & Other Vehicles: How to do a car title search. Know what the vin looks like. A "" vehicle identification number "" (vin) is 17-digits and made up of numbers and letters; the number is unique to that specific car.. Try looking for the number through the car's insurance information (vehicle insurance card or insurance policy).  Almost every state in the us requires that a car be covered by insurance to drive it on the road. So, if somebody is currently driving it, they will most likely have insurance and a insurance card with the vin.

Education and Communications: How to identify edible mushrooms. Choose mushrooms without white gills. Look for mushrooms with gills that are brown or tan. While some mushrooms with white gills are edible, the most deadly and poisonous mushroom family-amanitas-nearly always have white gills.  Select mushrooms without red on the cap or stem. Choose mushrooms with white, tan or brown caps and stems.

Carving jack-o-lanterns: A text intro leads into several shots of a pumpkin as well as tools followed by a man carving the pumpkin. The man draws and cuts away all around the front of the pumpkin while moving in fast motion.

Computers and Electronics: How to clean install windows 10. Check whether your computer can run on windows 10. Learning the capabilities of your computer system is the first thing to do while installing a desired operating system. Make sure that your computer meets the minimum requirements for installing windows 10. The minimum requirements are : Processor : 1 gigahertz (ghz) or faster. Ram : 1 gigabyte (gb) (32-bit) or 2 gb (64-bit) free hard disk space : 16 gb.

Education and Communications: How to make a found poem. Read examples of found poems. Oftentimes, a poet can be inspired by the works of other writers. Read some good examples of found poem to get an idea of how words from original texts can be selected and rearranged in order to create a found poem.  Search for found poems based on works you are familiar with. For example, you could go to google and type "" found poem romeo and juliet "" to find examples of poems using excerpts of words and phrases from that literary work.

Longboarding: We see a wolf fall in the title screen. We see the landscape of a small town. A boy rides down a street on a skateboard.

Home and Garden: How to sponge paint a bathroom. Apply painter's tape to the ceiling where it meets the wall, the doorjambs, wood trim and any areas where the walls of the bathroom meet the tile. This will protect these areas from the paint and help make cleanup easier.. Pour some of the paint in the base color, or color that will be behind the sponged paint, into a paint tray.  Dip a paint roller into the paint and roll the base color onto the bathroom walls.. Use a paintbrush to apply the paint to the edges of the room.

Finance and Business: How to look hot on a budget. Save up money, keeping in mind what you plan on buying, and what you estimate it will cost.. Go shopping with someone you trust to tell you the truth, and has a good sense of style, but remember to buy what you like. A "" good deal "" on an item you never wear is actually a bad deal.  Be honest with yourself, and only buy things you know you'll need, and will wear often. Buy clothes that suit your body, coloring, sense of style, and existing wardrobe.

Putting on shoes: A woman opens a white closet door. She removes some shoes from the closet. She puts on the shoes.

Swimming: Takeuchi swims the length of an indoor pool. The video changes to an underwater view of the takeuchi swimming. The video returns to abolve the pool shots of takeuchi swimming.

Travel: How to do business in qatar. Visit at the right time of year. If one plans on visiting qatar strictly for business purpose; the most favorable time for visit would be between the months of october to june. Usually the officers from private and public sectors go for vacation during the time frame between july and september."
"hellaswag.4002","Health: How to live in the moment. Start small. While you might be tempted to completely overhaul your lifestyle, it is not necessary to make big changes to start living in the moment. Start by incorporating new habits one at a time. Once you feel like you have mastered a habit, add something else. For example, instead of trying to meditate for 20 minutes per day right away, start by trying to meditate for three minutes per day.

Using the rowing machine: The woman stops and demonstrates the motor area of the machine. Back sitting on the rowing machine, she rows one more time and places the cables down. The woman removes her feet from the straps.

Holidays and Traditions: How to clean a pumpkin. Inspect the pumpkin for any rotten parts. You should do this before purchasing a pumpkin in the store, and again when you get home. You want to buy a pumpkin that is the same color and texture throughout. Darker, mushier portions of the pumpkin indicate rotting. If you notice some parts of the pumpkin have rotted after bringing it home, cut these parts off with a knife before cooking the pumpkin.

Relationships: How to handle an office relationship. Know the rules regarding workplace romance. It's always better if you are aware of the regulations and rules by which you have to work, inform yourself and your partner about what policies the firm has in place regarding conducting a romantic relationship in the workplace. Once you know what the rules are, you can do your best to avoid breaking them. You should also know what kind of trouble you can get into if you do break the rules. Consult the company handbook on office conduct and read the company's harassment policy for more information.

Fixing the roof: The man puts a metal tool on a shingle and shows a nail. The man hammers the nails into the metal piece on the shingle and cuts the metal. The man lifts the metal piece and taps nails around it.

Relationships: How to get over a woman. Give yourself permission to mourn. It can be tempting to push your feelings aside and try to skip the grieving process. However, you need to get your grief out of your system, as bottling up your emotions won't make them go away.  Whether you're dealing with a breakup or a woman rejected you, it's okay to be sad. Take the time you need to cry, listen to sad music, or sit around and wallow.

Finance and Business: How to choose a criminal defense lawyer. Understand your situation. When you are charged with a crime, you are being held responsible for a violation of a public law. In a civil case you can be forced to pay money. In a criminal case, you can be imprisoned. If you have been charged with a minor crime, called a misdemeanor, you can be confined in the county jail for up to one year.

Cleaning windows: Lawrence is showing and telling viewers how to clean and prep your windows. First he rolls down the driver window and applies the soap and water solution to the glass.

Relationships: How to impress a single mom. Show her that you're good with children. When her kids are around, make it a point to say hi and get them to smile. Try complimenting some aspect of their appearance, like their favorite toy or new pair of shoes, or pointing out things you have in common, like your mutual love of ice cream. Getting her kids to like you is a surefire way to win her approval. Having your own child or a younger sibling with you can provide you with a convenient icebreaker and help you make that initial introduction.

Pets and Animals: How to take your horse on a long trailer ride. Make sure the trailer is in proper working order. Check your trailer carefully before completing a long distance trip. Make sure that your trailer is an appropriate size for the horse being transported. For example, a small trailer will be very uncomfortable for a large horse. Inspect the following parts of the trailer before heading out : Tire pressure.

Personal Care and Style: How to do your makeup in the summer. Use an oil-free moisturizer. This is a must, even if you don't have oily skin. This will keep your skin hydrated throughout the day but without the extra oils."
"hellaswag.1674","Relationships: How to win a guy's heart. Build a healthy sense of self-confidence. Self-confidence doesn't mean having a big ego or thinking you can do anything. It means knowing that you are worth the things in life you want to have. Thinking positively about yourself makes a world of difference in the way you personally fell and the way you perceive your surroundings. If you want to win over someone's heart, you need to first feel like you're truly worth being loved.

Making a lemonade: Opening credits show dishes on a counter. A hand pours liquid from a shot glass into a glass. The person stirs the liquid with a spoon.

Computers and Electronics: How to clean your egr valve. Clean and inspect the vacuum hose. Remove the vacuum hose and inspect closely for wear (cracks or weak spots), then clean out the carbon deposits either with a spray can of carburetor cleaner or with a pipe cleaner if the deposits are hardened or compacted.. Inspect the egr valve for damage.  Loosen any bolts fastening the egr valve to the engine. Inspect the gasket lining the bottom plate of the valve.

Making a cake: A woman explains how to make a cake in a kitchen, then she puts four eggs and sugar in a bowl and beat with an electric mixer and add more ingredients to form a wet mix. The woman puts solids on a big bowl and then add the wet mix, oil and milk, then mix with an spatula.

Braiding hair: A girl shows a hair pin and a spray bottle. Then , the girl shows how to make a braid on the front of the front of the head.

Playing polo: An athlete is then seen speaking with a new host and several shots of him playing and riding a horse are shown. More clips are shown of him playing a sport and speaking to the host and shaking his hand.

Youth: How to live with a step parent. Sit down with your parent to talk. If your parent has recently remarried, you may not be sure how the new changes will affect you. Pull your biological parent aside and ask them to clarify anything you're not sure about.  You might say something like, "" i'm a bit confused about how things are going to change in our house. What's going to happen now that we're all living together? "" ask as many questions as you need to get a clear understanding about your new reality.

Pets and Animals: How to help a dog recover from a broken leg. Evaluate the dog for more severe injuries. If you see your dog limping, take a look to see which leg is injured. Do a slow, careful examination of the injured leg. The broken leg could be really obvious, such as an exposed, open fracture. In this case, you'll need to keep the wound clean.

Education and Communications: How to make a halloween house. Halloween party is all about creating a mysterious, creepy, dark atmosphere. An easy place to start is with lighting. This can be easily achieved by simply changing out your normal light bulbs for coloured ones. Green and red seem to be the colours that work the best, blue looks a bit washed out. Black or purple bulbs are also great for spooky effects.

Cheerleading: Groups of people do tricks and fail hilariously. People get dropped and run into each other.

Work World: How to become a journeyman plumber. Join a local plumbers' union. A union can provide a fast track to your ultimate goal of becoming a journeyman plumber. But because of the high demand for membership, they can be hard to get into."
"hellaswag.5593","Finance and Business: How to know if you have a lawsuit. Learn the elements of your claim. The basic elements of your claim indicate what you must prove to win your case. Claims-also called causes of action-are broken down into specific components. You must have proof of each of these components to put together a good case. For example, if you've hired a contractor to complete home repairs and he didn't complete the repairs according to the contract, you may want to sue him for breach of contract.

Finance and Business: How to download free music on your apple products. Download a free or paid download management app. The app that you purchase should have an internet browser on it. To find apps like these, search "" download manager "" on the app store. Typically, these apps will have an arrow facing downwards on the app cover.. On the app, go to its settings and change the search engine to "" bing "" if it is not already.

Food and Entertaining: How to prepare hot smoked salmon. Brine your fish. Brining is the process of soaking meat or fish before cooking. Each person who smokes fish has their own preferences for how to formulate a brine, but it almost always includes both a salty and a sweet flavor. For beginners to smoking, a simple brine of kosher salt and brown sugar is a good point of departure. How much you need depends on how much fish you have.

Ironing clothes: A young boy arranges a shirt on the floor. He grabs and iron and irons the shirt.

Work World: How to fire an employee. Set expectations. Discuss with your employees any behavior that could be grounds for immediate termination. Don't wait until behavior is already occurring. Be sure that all employees understand the rules and productivity expectations up front. These might include such things as failing to disclose arrest records, lying about past employment, failing a drug test, insubordination, excessive absence-and what constitutes "" excessive ""-and other issues that affect job performance.

Health: How to treat children with ulcerative colitis. Talk to your doctor about putting your child on a course of antibiotics. Antibiotics are used for treating infections that aggravate the inflammation in the intestinal linings. The medications include metronidazole and ciprofloxacin. Upon proper laboratory tests, the cause of infection can be determined and the doctor can prescribe the proper antibiotic. If the cause of the infection is anaerobic bacteria (single-celled bacteria that thrive in environments with less oxygen), then metronidazole will be prescribed.

Camel ride: The camel is sitting on the ground, but then the man puts on his glasses while he's sitting on the camel as it lifts up bringing the man forward a little bit. Then someone grabs the rope on the camel to guide the camel to the right place. Finally the man pulls the camel the man is sitting on while the other 2 camels walk behind the camel in the front.

Home and Garden: How to clean engineered hardwood floors. Sweep daily with a broom. Loose pieces of dirt and small stones may be tracked into your house on a daily basis. Use a soft-bristled broom to sweep up all of the dirt in your house. Pay special attention to areas that are more likely to have collected dirt or rocks, such as the entryway. Sweep the dirt and dust into a dustpan, and dispose of it outside.

Food and Entertaining: How to cure diarrhea. Drink water and other fluids to restore vitamins and minerals. When you have diarrhea, your body sheds fluids that contain needed vitamins and minerals. It is important to get those minerals back in fluids, especially water and sports drinks.  Combatting dehydration is your primary medical concern with diarrhea. If you are vomiting in addition to having diarrhea, be sure to take frequent, small sips of liquid instead of drinking lots of liquid at a time.

Education and Communications: How to count in binary. Learn what binary means. Our normal counting system is called decimal, or "" base ten. "" we have ten different symbols for writing numbers, ranging from 0 to 9. Binary is a "" base two "" system, using only the symbols 0 and 1.. Add one by changing the last 0 into a 1.

Personal Care and Style: How to travel around portugal. Time your journey. Portugal is fairly small in terms of area. However, because of its shape (the coastline is 1 , 214 km (754 mi) long), distances to travel are substantial."
"hellaswag.4877","Baton twirling: A woman spins a rod on the air while spinning and dancing, then she throws the rod high and spins before to catch the rod. The woman continues spinning the rod around body, also throw the rod in the air. Then , the woman rolls the rod on her arms, then she throw the rod in the air and and does a cartwheel before catching the rod.

Beer pong: A large group of people are standing around followed by two hugging and speaking to the camera. Several shot are shown of people playing beer pong as well as laughing with one another and yelling into the camera.

Food and Entertaining: How to get a soccer scholarship. Start early. By high school, you should have years of playing under your belt. Most soccer players begin playing in children's leagues and progress through playing on school teams and for private clubs.  It is rare that a skilled soccer player will begin playing the sport for the first time in their teenage years, but it is not impossible. The more that you are able to train and practice, the better you will get.

Pets and Animals: How to brush your dog. Prepare your dog. Find a safe, quiet place to brush your dog. If the weather is nice, outdoors is a good bet because you won't have to worry as much about cleaning up the dead hair. Make sure your dog feels comfortable with you, and speak in a calm, reassuring voice throughout the grooming session. Ask your dog to sit, and then give them a treat.

Food and Entertaining: How to help students get organized. If you have younger students, lower your expectations and think of creative rewards for the entire class. It isn't reasonable to expect a first grader to be perfectly organized, although it is completely fair to expect them to try. Younger students typically love the idea of a star chart or prize box. They are generally not influenced by the threat of a bad grade. It's generally easier to try to instill neatness as a habit into elementary school students.

Home and Garden: How to clean heavy winter bedding. Check the care tag on the bedding item. On one corner of every bedding item, there's a small white tag with specific directions and information on how to wash it. This information supersedes any other information you receive from laundry professionals, friends, or how-to guides. Read the cleaning directions on the tag and use it to clean your heavy winter bedding the right way.. Take your bedding to a professional.

Pets and Animals: How to care for egyptian maus. Choose a breeder. The egyptian mau is an unusual breed, and many breeders have waiting lists for their kittens. However, do not let this pressure you into buying a kitten from a disreputable breeder. Wait until good quality kittens that are well-socialized are available. Find a breeder who is also a cat lover.

Relationships: How to plan a perfect date. Give your date options. You're busy and your date is busy, so be sure to plan ahead. Offer a few different days to set up a date, this will show them that you're willing to plan around their schedule.  Simply asking "" are you free wednesday or thursday? "" gives options, while still being direct. This will show your date that you respect their time, but can still handle making plans.

Finance and Business: How to create an online survey with surveymonkey. Visit the surveymonkey website at http: // www.surveymonkey.com /.. Click "" sign in "" at the top of the page.. Enter your username and password associated with your survey monkey account and click sign in.  Click here to create a survey monkey account :. Alternatively, you can sign up using the sign up with facebook or sign up with google buttons on the right.

Pole vault: A man starts running down with a stick he places it down and jumps over a really high obstacle, he lands and gloats. The next man takes his turn and he does the same using the stick to get over the obstacle and jumping up with excitement after landing.

Family Life: How to buy a wedding dress. Give yourself plenty of time. To avoid feeling rushed, start the shopping process as early as possible. Most experts recommend starting about eight months before the wedding day."
"hellaswag.8002","Putting in contact lenses: The woman places the lens on her palm and, using solution, cleans it. The woman places the lens into the case and adds solution. The woman begins to leave the camera frame.

Smoking hookah: The outside of a building is shown and leads into people talking to one another. Two men are shown speaking to one another while smoking from a hookah.

Computers and Electronics: How to recognize an inguinal hernia. Look in the mirror for signs of a hernia. Remove all clothing below your waist and look in the mirror. Place two fingers over the area you think is affected. Force yourself to cough and note if you felt or saw a bulge coming out of that area. You can also hold your breath and bear down (contract your abdomen as you were going to the bathroom).

Pets and Animals: How to sue a dog owner for bites. Get a copy of the police report. You should have immediately reported the bite to the police so that they could investigate. You should get a copy of the police report by calling or stopping into the police station.  You will introduce the police report into evidence at trial. You should also read it to see if there are any witnesses listed.

Youth: How to tell your parents you lost something. Try to predict how your parents will react. If you're delivering bad news, it can help to try to predict the reaction you may receive. Before confessing you lost something, think about how your parents may feel about this. Have a little empathy so you can predict the reaction and figure out the best means to deliver the news. What did you lose? Parents are unlikely to be angered by the loss of a small item, but if you lost something big and expensive, they may be angrier.

Youth: How to be a tough girl. Be your true self. If you want to be tough, you first have to start accepting yourself for who you are. If you prefer staying up late to read science-fiction, as opposed to keeping up with the hottest television show, so be it. If a group of people think something's funny, but you don't, so what? Pretending to be someone you're not is an obvious sign of insecurity or weakness. People can easily pick up on it, and you surely won't look so tough if someone calls you out on it.

Doing motocross: All the riders go over a jump and land smoothly. All the riders then go around a sharp turn. Two riders at the back of the pack wiped out while turning.

Computers and Electronics: How to get your blog indexed by google in 24 hours. Create at least 10 pieces of quality content ready to be published before you go live on the web. Have the content already written, proofread and edited before buying your domain name and hosting. This will allow you to write up your website quickly and focus on the design of the site, rather than rush around trying to create "" quality "" content at the last minute.  Add in your content and start building your internal link structure. This is a critical mistake that far too many people commit as a new webmaster.

Rope skipping: A woman is in a driveway, doing tricks and stunts as she jumps rope. She increases speed, then stops as a man approaches her to discuss her technique. She then returns to demonstrating how to jump rope, and the various names of the moves.

Snatch: A weight lifter is in a gym, and he lifts a barbell. He lifts it over his head, then drops it to the ground before walking away.

Family Life: How to help children with adhd sleep better. Set a firm bedtime. A good way to help your child with adhd sleep better is to get him in the habit of going to bed at the same time. Pick a realistic bed time for your child's schedule and your family activities."
"hellaswag.7765","Health: How to start the day off right. Wake up at a good time. Wake up early so that you can live an hour more. This means giving yourself plenty of time to awaken, stretch and get ready. Waking up with just enough time to rush out the door is stress-inducing and not a good start to your day. Instead, go to bed early enough to allow you to awake refreshed and with time to do everything at a good, even pace.

Shot put: Men sets up and throw shot put balls in a track and field competition onto the field. Runner race in a track event. The man celebrates his throw and walks off the field. The crowd stands up and cheers for the athlete.

Pets and Animals: How to clean a hummingbird feeder. Pour out all the nectar. As you likely stock your feeder with nectar, make sure to remove that before cleaning the feeder. You should simply pour the nectar down the drain. Once birds have fed in the liquid it will contain mold and other contaminants so do not save unused sugar liquid from inside of the feeders. You can make more nectar later with simple sugar and water or restock the feeder with store-bought nectar.

Shaving legs: A woman is sitting in a bathroom. The woman rubs soap on her right leg. The lady shaves the bottom part of her right leg with a pink razor.

Finance and Business: How to seal juvenile court records. Determine if you need to take action. In some states, juvenile records are made confidential and are not accessible to the public. If you have a juvenile record in one of these states, you will most likely not have to take action to have your records sealed or expunged. In addition, some states will automatically seal your juvenile record at a certain time. If you have juvenile records in any of these states, you will most likely not have to take any action to have your records sealed.

Sailing: A man and three women are on a boat in the ocean. The man takes pictures of the women and sometimes himself standing at the end of the boat. The man steers the boat as two of the women pull a rope and turn a crank.

Calf roping: A man is riding a horse and jumps off and ropes a goat and ties its back legs together. He then walks off and gets up back on the horse.

Finance and Business: How to evict a tenant without rental agreement. Confirm that you have no written lease. Make sure that you didn't execute a written lease but forget about it. Most state laws provide greater protection to tenants who have rental agreements.  Check your emails also to see that you didn't create a rental agreement through email. An agreement can be informal; it does not need to be an extensive written lease.

Food and Entertaining: How to make cannelloni with chicken and nuts. Roast or grill the carrot and the onion with the butter in a fryer.. Add the frozen spinach, and cook until completely thawed.. Add the chicken, and season with some salt and pepper.  Add the wine and let it reduce.. Add the nuts--leave them in for 15 minutes.

Relationships: How to overcome emotional dependency. Identify your fear. Most of the time, feelings of neediness or dependence are rooted in fear. Think about how you would feel if the person you're dependent on left. Ask yourself what in particular scares you about that scenario. For instance, if you're emotionally dependent on the person you're dating, you might have an underlying fear of feeling unlovable.

Travel: How to cross the canadian border with a dui. Use a temporary resident permit (trp) as a short-term solution. The trp only allows you to enter canada for a specified reason, and only for a limited period of time. If you need to return to canada, you must apply for another trp."
"hellaswag.3497","Food and Entertaining: How to make vinaigrette. Add a small amount of mustard to a small bowl. You should add a dollop of mustard that is about the size of your fingertip. Mustard acts as an emulsifying agent--when two liquids don't mix, like water and oil, mustard breaks them down and helps them to mix.  You can also add a fingertip-sized dollop of mayonnaise to the bowl. Mayo is also an emulsifier and adds a nice creamy texture to the vinaigrette.

Finance and Business: How to tell if your bird has mites. Check around your bird's eyes and beak for any crusty looking area. Mites affect your bird by burrowing into their skin, often in the area around their eyes and beak. This is known as an infestation of, or burrowing face mites. In the early stages of this infestation, the mites are barely visible and will not affect the overall condition of your bird. But you may notice crusty plaques in the corners of your bird's beak or on your bird's beak.

Using the pommel horse: Man is doing gymnastics in a balance beam after a hand stand mak a big jump and lands in the floor. A lor f people is around the court watching the man.

Health: How to relieve anxiety. Take deep breaths. Pause what you are doing and focus solely on your breath. As you inhale, draw the air into your belly, rather than just your upper chest. Then, exhale slowly through your nose. Repeat this process 5 times, then resume normal breathing.

Pets and Animals: How to deal with a barking dog. Get rid of stimuli. Take a look at what makes your dog bark and find a way to remove that motivation. If your dog likes to bark at passing pets they see through the window, close your curtains or blinds. If they bark at the doorbell, encourage individuals to call or text you and let you know they're at your home. If there is a stimulus you can't get rid of completely, such as your dog barking at their reflection in the window or mirror, try to limit their access.

Pets and Animals: How to prevent infection from toxoplasmosis. Cook your meat thoroughly. One way to contract toxoplasmosis is eating meat that's not fully cooked. Pork, beef, and lamb are the most likely to carry this parasite.  Pork should be cooked to an internal temperature of 145 degrees fahrenheit. If you are reheating ham or other cooked meats, you should let it reach a temperature of 140 degrees fahrenheit.

Home and Garden: How to grow organic mushrooms. Buy organic mushroom spawn. Mushroom spawn is specially harvested and grown fungal tissue that can be used to grow mushrooms. For the log method, select spawn in the plug form, which is basically spawn contained inside short wooden dowels.  You can buy mushroom spawn at many garden stores or online. To grow organic mushrooms, you may have better luck shopping at online shops that specialize in organic mushroom spawn.

Making a cake: We see the lady make a cake and give instructions. The lady takes and prepares her cake pans. The lady mixes her dry ingredients then mixes them in the mixer with red food coloring and pours them into cake pans cooks and cools them on racks.

Finance and Business: How to get sba small business loans. Get declined for a traditional business loan with a bank. This sounds odd but it's true. Small businesses cannot get sba small business loans unless they have been turned down for funding by a traditional lender. You only need to be turned down once to apply for a sba loan but it can help your case if you are rejected by at least 2 lenders.. Schedule an appointment with your nearest small business development center (sbdc).

Computers and Electronics: How to apply for guardianship. Decide whether becoming a legal guardian is right for your situation. Guardians are court-supervised caretakers for minors and incapacitated persons. Guardians are responsible for the wellbeing of their wards (the person for whom they are the guardian), and may also be responsible for handling the person's assets and finances. The guardian must periodically report to the court on the ward's status. Make sure that you are prepared to accept the responsibility of acting as a legal guardian.

Personal Care and Style: How to get smokey eyes with makeup. Choose your colors. Any color can be used to create a smoky eye, although you will need at least three shades of a similar hue. The classic smoky eye is created with black or gray, but bronze and brown are also commonly used."
